no	front	reading	meaning_vi	han_viet	years	usage	examples_json
11	たびたび	たびたび	Nhiều lần, thường xuyên xảy ra lặp lại			Trang trọng hơn よく; hay dùng trong thông báo và xin lỗi.	[{"jp":"この地域では夏に停電がたびたび起こる。","vi":"Khu vực này thường xảy ra mất điện vào mùa hè.","context":"Hiện tượng lặp lại"},{"jp":"たびたびご迷惑をおかけし、申し訳ございません。","vi":"Thành thật xin lỗi vì đã nhiều lần gây phiền hà.","context":"Xin lỗi trang trọng"},{"jp":"彼とは出張先でたびたび顔を合わせた。","vi":"Tôi nhiều lần chạm mặt anh ấy tại nơi công tác.","context":"Gặp lại nhiều lần"},{"jp":"同じエラーがたびたび発生している。","vi":"Cùng một lỗi đang phát sinh nhiều lần.","context":"Báo cáo kỹ thuật"},{"jp":"その作家はたびたび日本を訪れている。","vi":"Nhà văn đó đã nhiều lần đến Nhật Bản.","context":"Tiểu sử"}]
12	なかなか	なかなか	Khá, rất hơn dự đoán; mãi vẫn không…			Với khẳng định là đánh giá cao; với phủ định diễn tả khó đạt kết quả.	[{"jp":"この店のカレーはなかなかおいしい。","vi":"Cà ri của quán này khá ngon đấy.","context":"Khẳng định tích cực"},{"jp":"バグの原因がなかなか見つからない。","vi":"Mãi vẫn không tìm ra nguyên nhân lỗi.","context":"Đi với phủ định"},{"jp":"忙しくて、なかなか勉強する時間が取れない。","vi":"Bận quá nên mãi không thu xếp được thời gian học.","context":"Khó thực hiện"},{"jp":"彼は新人だが、なかなか仕事ができる。","vi":"Anh ấy là người mới nhưng làm việc khá tốt.","context":"Vượt dự đoán"},{"jp":"電車が来なくて、なかなか帰れなかった。","vi":"Tàu không đến nên mãi tôi chưa về được.","context":"Trở ngại"}]
13	びしょびしょ	びしょびしょ	Ướt sũng hoàn toàn			Mức ướt nặng hơn しっとり; dùng cho quần áo, tóc, đồ vật.	[{"jp":"傘を忘れて、服がびしょびしょになった。","vi":"Quên ô nên quần áo tôi ướt sũng.","context":"Gặp mưa"},{"jp":"子どもたちは水遊びでびしょびしょだ。","vi":"Bọn trẻ chơi nước nên ướt nhẹp.","context":"Vui chơi"},{"jp":"汗でシャツがびしょびしょになった。","vi":"Áo sơ mi ướt đẫm mồ hôi.","context":"Nóng và vận động"},{"jp":"床がびしょびしょだから、滑らないように気をつけて。","vi":"Sàn ướt sũng nên cẩn thận đừng trượt.","context":"Cảnh báo an toàn"},{"jp":"洗った髪をびしょびしょのままにしないで。","vi":"Đừng để tóc vừa gội ướt sũng như vậy.","context":"Sinh hoạt"}]
14	ぺこぺこ	ぺこぺこ	Đói meo; cúi đầu liên tục, khúm núm			おなかがぺこぺこ là đói; ぺこぺこ頭を下げる là cúi đầu nhiều lần.	[{"jp":"朝から何も食べていなくて、おなかがぺこぺこだ。","vi":"Từ sáng chưa ăn gì nên bụng đói meo.","context":"Đói bụng"},{"jp":"仕事が終わる頃には、みんなぺこぺこだった。","vi":"Đến lúc tan làm, ai cũng đói cồn cào.","context":"Cuối ngày"},{"jp":"店員は何度もぺこぺこと頭を下げた。","vi":"Nhân viên cửa hàng cúi đầu xin lỗi liên tục.","context":"Cúi đầu"},{"jp":"相手にぺこぺこする必要はない。","vi":"Không cần phải khúm núm trước đối phương.","context":"Thái độ quá nhún nhường"},{"jp":"ぺこぺこだから、先に何か食べよう。","vi":"Đói meo rồi nên ăn gì trước đi.","context":"Rủ ăn"}]
15	ちかちか	ちかちか	Nhấp nháy chói mắt; mắt bị kích thích			Dùng cho ánh sáng chớp liên tục hoặc cảm giác mắt khó chịu.	[{"jp":"蛍光灯がちかちかしている。","vi":"Đèn huỳnh quang đang nhấp nháy.","context":"Đèn hỏng"},{"jp":"画面を長く見すぎて、目がちかちかする。","vi":"Nhìn màn hình quá lâu khiến mắt tôi hoa lên.","context":"Mỏi mắt"},{"jp":"暗い部屋でスマホを見ると目がちかちかする。","vi":"Xem điện thoại trong phòng tối làm mắt bị chói.","context":"Sử dụng thiết bị"},{"jp":"遠くで赤いランプがちかちか光っている。","vi":"Đèn đỏ ở xa đang chớp liên tục.","context":"Ánh sáng cảnh báo"},{"jp":"看板がちかちかして、文字が読みにくい。","vi":"Biển hiệu nhấp nháy làm chữ khó đọc.","context":"Ngoài phố"}]
16	どきどき	どきどき	Tim đập thình thịch do hồi hộp, sợ hoặc rung động			Cảm xúc không nhất thiết tiêu cực; thường dùng どきどきする.	[{"jp":"面接の順番が近づいて、どきどきしてきた。","vi":"Đến gần lượt phỏng vấn, tim tôi bắt đầu đập thình thịch.","context":"Căng thẳng"},{"jp":"好きな人からメッセージが来て、どきどきした。","vi":"Nhận tin nhắn từ người mình thích khiến tôi rung động.","context":"Tình cảm"},{"jp":"結果を見る前は、胸がどきどきしていた。","vi":"Trước khi xem kết quả, tim tôi đập thình thịch.","context":"Chờ kết quả"},{"jp":"初めて一人で飛行機に乗るので、どきどきしている。","vi":"Lần đầu đi máy bay một mình nên tôi vừa hồi hộp vừa lo.","context":"Trải nghiệm mới"},{"jp":"突然大きな音がして、心臓がどきどきした。","vi":"Đột nhiên có tiếng động lớn làm tim tôi đập mạnh.","context":"Bị giật mình"}]
17	ごろごろ	ごろごろ	Nằm lười; lăn lông lốc; ầm ì; có nhiều khắp nơi			Từ đa nghĩa, cần hiểu qua chủ thể và động từ đi kèm.	[{"jp":"休日は家でごろごろして過ごした。","vi":"Ngày nghỉ tôi nằm lười ở nhà.","context":"Nghỉ ngơi lười biếng"},{"jp":"床にボールがごろごろ転がっている。","vi":"Những quả bóng đang lăn lông lốc trên sàn.","context":"Vật tròn lăn"},{"jp":"遠くで雷がごろごろ鳴っている。","vi":"Sấm đang ầm ì ở phía xa.","context":"Âm thanh sấm"},{"jp":"食べすぎて、おなかがごろごろする。","vi":"Ăn quá nhiều khiến bụng tôi sôi ùng ục.","context":"Tình trạng bụng"},{"jp":"河原には大きな石がごろごろしている。","vi":"Ven sông có nhiều tảng đá lớn nằm ngổn ngang.","context":"Nhiều vật rải rác"}]
18	きらきら	きらきら	Lấp lánh đẹp mắt; ánh mắt rạng rỡ			Ánh sáng nhỏ phản chiếu liên tục, thường mang cảm giác đẹp hoặc trong trẻo.	[{"jp":"海の表面が太陽の光できらきら輝いている。","vi":"Mặt biển lấp lánh dưới ánh mặt trời.","context":"Cảnh thiên nhiên"},{"jp":"子どもたちは目をきらきらさせて話を聞いていた。","vi":"Bọn trẻ nghe chuyện với đôi mắt sáng long lanh.","context":"Hứng thú"},{"jp":"夜空に星がきらきら光っている。","vi":"Các vì sao lấp lánh trên bầu trời đêm.","context":"Bầu trời"},{"jp":"彼女はきらきらしたアクセサリーを選んだ。","vi":"Cô ấy chọn món phụ kiện lấp lánh.","context":"Thời trang"},{"jp":"雨上がりの葉がきらきらしてきれいだ。","vi":"Lá cây sau mưa lấp lánh rất đẹp.","context":"Sau cơn mưa"}]
19	めちゃめちゃ	めちゃめちゃ	Rất, cực kỳ; lộn xộn, tan tác			Khẩu ngữ thân mật; không phù hợp văn bản trang trọng.	[{"jp":"このラーメン、めちゃめちゃおいしい。","vi":"Món ramen này ngon cực kỳ.","context":"Nhấn mạnh trong hội thoại"},{"jp":"急な依頼が重なって、今日の予定はめちゃめちゃだ。","vi":"Việc gấp dồn lại làm lịch hôm nay rối tung.","context":"Kế hoạch hỗn loạn"},{"jp":"子どもが部屋をめちゃめちゃにした。","vi":"Đứa trẻ làm căn phòng bừa bộn hết cả.","context":"Lộn xộn"},{"jp":"昨日はめちゃめちゃ忙しかった。","vi":"Hôm qua tôi bận kinh khủng.","context":"Khẩu ngữ đời thường"},{"jp":"データの形式がめちゃめちゃで、そのままでは使えない。","vi":"Định dạng dữ liệu lộn xộn nên không thể dùng nguyên trạng.","context":"Công việc kỹ thuật thân mật"}]
20	ぴかぴか	ぴかぴか	Sáng bóng; mới tinh; chớp sáng			Hay dùng cho vật đã đánh bóng hoặc đồ/người mới bắt đầu.	[{"jp":"靴をぴかぴかに磨いた。","vi":"Tôi đánh giày sáng bóng.","context":"Làm sạch"},{"jp":"買ったばかりの車はまだぴかぴかだ。","vi":"Chiếc xe vừa mua vẫn còn mới tinh.","context":"Đồ mới"},{"jp":"一年生がぴかぴかのランドセルを背負っている。","vi":"Học sinh lớp một đeo những chiếc cặp mới tinh.","context":"Ngày nhập học"},{"jp":"稲妻が空をぴかぴか照らした。","vi":"Chớp lóe sáng trên bầu trời.","context":"Ánh chớp"},{"jp":"掃除した台所がぴかぴかになった。","vi":"Căn bếp sau khi dọn đã sáng bóng.","context":"Dọn nhà"}]
21	ぽちゃぽちゃ	ぽちゃぽちゃ	Bì bõm, tiếng nước nhẹ; đầy đặn dễ thương			Có thể tả tiếng nước hoặc vóc dáng tròn trịa theo cách mềm mại.	[{"jp":"子どもが浅い川でぽちゃぽちゃ遊んでいる。","vi":"Đứa trẻ đang bì bõm chơi ở đoạn sông nông.","context":"Chơi nước"},{"jp":"浴槽からぽちゃぽちゃと水の音がする。","vi":"Từ bồn tắm vọng ra tiếng nước bì bõm.","context":"Âm thanh nước"},{"jp":"雨水のたまった道をぽちゃぽちゃ歩いた。","vi":"Tôi bước bì bõm trên con đường đọng nước mưa.","context":"Đi trong vũng nước"},{"jp":"赤ちゃんのぽちゃぽちゃした頬がかわいい。","vi":"Đôi má bầu bĩnh của em bé thật đáng yêu.","context":"Vóc dáng đầy đặn"},{"jp":"足で水をぽちゃぽちゃさせないで。","vi":"Đừng dùng chân làm nước bắn bì bõm.","context":"Nhắc trẻ nhỏ"}]
22	くらくら	くらくら	Chóng mặt, choáng váng; lay động mạnh			Thường là 目まい/choáng do nóng, đói, mùi mạnh; cũng có thể tả vật rung.	[{"jp":"急に立ち上がったら、頭がくらくらした。","vi":"Đứng dậy đột ngột khiến tôi choáng đầu.","context":"Chóng mặt tư thế"},{"jp":"暑さでくらくらしてきたので、日陰で休んだ。","vi":"Tôi bắt đầu choáng vì nóng nên nghỉ trong bóng râm.","context":"Nắng nóng"},{"jp":"強い香水のにおいで頭がくらくらする。","vi":"Mùi nước hoa quá nồng làm tôi choáng váng.","context":"Mùi mạnh"},{"jp":"朝食を抜いたせいか、少しくらくらする。","vi":"Có lẽ vì bỏ bữa sáng nên tôi hơi chóng mặt.","context":"Đói hoặc hạ đường huyết"},{"jp":"地震で照明がくらくら揺れた。","vi":"Đèn lắc lư mạnh vì động đất.","context":"Vật rung lắc"}]
23	ぞろぞろ	ぞろぞろ	Lũ lượt, nối đuôi thành đoàn			Tả nhiều người hoặc con vật di chuyển liên tiếp, đôi khi có sắc thái quá đông.	[{"jp":"コンサートが終わると、人々がぞろぞろ出てきた。","vi":"Hết buổi hòa nhạc, mọi người lũ lượt đi ra.","context":"Đám đông rời địa điểm"},{"jp":"観光客がバスからぞろぞろ降りてきた。","vi":"Du khách nối đuôi nhau xuống xe buýt.","context":"Du lịch"},{"jp":"昼休みになると、社員がぞろぞろ食堂へ向かう。","vi":"Đến giờ nghỉ trưa, nhân viên lũ lượt đi về phía nhà ăn.","context":"Công sở"},{"jp":"アリが列を作ってぞろぞろ歩いている。","vi":"Đàn kiến xếp hàng bò nối đuôi nhau.","context":"Động vật"},{"jp":"一人が立つと、ほかの人もぞろぞろ席を立った。","vi":"Một người đứng lên thì những người khác cũng lần lượt rời ghế.","context":"Hành động theo đám đông"}]
24	たらたら	たらたら	Nhỏ giọt liên tục; dài dòng; chậm chạp thiếu nghiêm túc			Có trong 汗がたらたら, 文句をたらたら言う, たらたら仕事する.	[{"jp":"暑くて、額から汗がたらたら流れた。","vi":"Trời nóng khiến mồ hôi chảy ròng ròng từ trán.","context":"Chất lỏng chảy"},{"jp":"文句をたらたら言わずに、まずやってみよう。","vi":"Đừng than phiền dài dòng nữa, trước hết hãy thử làm đi.","context":"Phàn nàn dai dẳng"},{"jp":"血がたらたら出ているので、すぐ傷口を押さえた。","vi":"Máu đang chảy ròng ròng nên tôi lập tức ép vết thương.","context":"Sơ cứu"},{"jp":"たらたら仕事をしていたら、今日中に終わらない。","vi":"Cứ làm việc lề mề thế thì hôm nay không xong đâu.","context":"Chậm chạp"},{"jp":"ソースをたらたらかけすぎて、皿からこぼれた。","vi":"Rưới quá nhiều sốt làm nó tràn khỏi đĩa.","context":"Nấu ăn"}]
25	ひらひら	ひらひら	Bay phấp phới; chuyển động nhẹ qua lại			Dùng cho vật mỏng nhẹ như cánh hoa, giấy, váy hoặc bướm.	[{"jp":"桜の花びらがひらひら舞っている。","vi":"Cánh hoa anh đào đang bay phấp phới.","context":"Cảnh mùa xuân"},{"jp":"風でカーテンがひらひら揺れた。","vi":"Rèm cửa lay nhẹ trong gió.","context":"Trong nhà"},{"jp":"白い蝶が庭をひらひら飛んでいる。","vi":"Con bướm trắng bay chập chờn trong vườn.","context":"Côn trùng bay"},{"jp":"彼女はひらひらしたスカートをはいていた。","vi":"Cô ấy mặc chiếc váy mềm bay nhẹ.","context":"Thời trang"},{"jp":"紙が一枚、窓からひらひら落ちてきた。","vi":"Một tờ giấy từ cửa sổ bay nhẹ xuống.","context":"Vật mỏng rơi"}]
